93706,4.5867,1.174e+05,29197,150
93710,6.578,1.823e+05,42844,114
93711,7.576,3.026e+05,63934,334
93722,5.6271,1.757e+05,54381,280
93724,4.18,0,0,1
93725,5.9118,1.36e+05,35635,58
93726,5.5221,1.351e+05,32471,67
93727,6.742,1.893e+05,46394,257
93728,6.1404,1.139e+05,32658,13
93905,5.0338,2.186e+05,42807,11
93906,8.7086,2.574e+05,55082,18
93926,4.78,2.051e+05,51044,4
93927,3.2597,1.838e+05,52233,64
93930,6.2624,1.903e+05,42454,19
93940,5.3533,6.318e+05,67716,79
93960,3.8734,2.057e+05,47098,19
94014,4.7056,5.342e+05,71668,16
94025,4.4323,1e+06,1.191e+05,194
94061,4.2971,7.995e+05,81907,113
94107,3.9744,7.478e+05,1.2061e+05,97
94108,8.2233,8.606e+05,36875,3
94110,3.0368,7.871e+05,84488,276
94124,3.4743,4.743e+05,49594,173
94134,2.1246,5.557e+05,60230,94
94303,2.8685,1e+06,89464,17
94509,5.5075,2.118e+05,54372,221
94510,4.8446,4.251e+05,89500,100
94520,8.0858,2.619e+05,47656,44
94525,6.33,3.579e+05,81667,7
94530,3.7181,5.875e+05,87598,95
94538,5.7585,4.951e+05,87652,58
94550,6.0762,5.719e+05,1.0295e+05,469
94551,5.1647,4.518e+05,98321,165
94558,7.8294,4.594e+05,72720,357
94559,6.205,4.202e+05,58363,76
94561,5.8017,2.492e+05,77706,149
94564,4.9244,3.465e+05,74283,36
94565,5.9684,2.174e+05,55865,125
94566,6.2356,8.083e+05,1.204e+05,399
94568,4.8826,5.755e+05,1.1362e+05,134
94585,4.8337,2.156e+05,70721,29
94588,8.178,6.641e+05,1.2768e+05,189
94589,3.9359,1.809e+05,56154,16
94591,6.4705,2.643e+05,73870,66
94599,13.276,5.941e+05,66136,10
94601,3.331,2.623e+05,39601,41
94603,2.255,2.068e+05,40962,16
94605,4.2377,3.702e+05,57610,61
94606,3.0057,3.372e+05,37288,14
94607,6.2668,3.475e+05,34192,53
94608,7.8866,3.613e+05,55959,34
94609,3.2865,5.175e+05,56378,45
94619,4.6731,4.575e+05,78676,75
94621,8.0787,1.807e+05,30528,24
94801,3.6267,1.652e+05,38856,74
94804,8.4932,2.28e+05,49541,86
